Expenditure on Completed and On-going Works as on Date,,,,,,,,,,
Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
71294,Assam,Construction of community centers and community halls,WS/MP18024/2025-2026/206722,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,JORHAT,29-Oct-2025,Bidyut Bharali,Payment Success,64360
71295,Assam,Construction of community centers and community halls,WS/MP18024/2025-2026/206723,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,JORHAT,24-Feb-2026,Bidyut Bharali,Payment Success,37447
71296,Assam,Construction of community centers and community halls,WS/MP18024/2025-2026/206722,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,JORHAT,26-Nov-2025,Bidyut Bharali,Payment Success,38476
71297,Assam,Construction of community centers and community halls,WS/MP18024/2025-2026/148299,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,JORHAT,06-Nov-2025,Bidyut Bharali,Payment Success,110000
71298,Assam,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18024/2025-2026/206721,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,JORHAT,20-Feb-2026,Bidyut Bharali,Payment Success,57302
71299,Assam,Construction of culverts and bridges,WS/MP18024/2025-2026/206717,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,JORHAT,20-Feb-2026,Bidyut Bharali,Payment Success,69428
71300,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18328/2026-2027/269112,MANDI(DEPUTY COMMISSIONER MANDI_IDA),Kangana Ranaut,MANDI,25-Aug-2026,GP Urla,Payment Success,80000
71301,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18328/2026-2027/269104,MANDI(DEPUTY COMMISSIONER MANDI_IDA),Kangana Ranaut,MANDI,22-Aug-2026,GP Khalaihal,Payment Success,60000
71302,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2025-2026/200158,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,11-Nov-2025,sarpanch gp ambada,Payment Success,75000
71303,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2025-2026/200157,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,20-Jan-2026,sarpanch gp bhamodi,Payment Success,75000
71304,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2025-2026/200156,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,26-Nov-2025,sarpanch gp jatachhapar,Payment Success,75000
71305,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2024-2025/178038,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,20-Jun-2025,ASST ENG BOCHAHA LAEO MUZ,Payment Success,1322137
71306,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2024-2025/168138,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,13-May-2025,ASST ENG BOCHAHA LAEO MUZ,Payment Success,620555
71307,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/206213,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,05-Aug-2025,ASST ENG BOCHAHA LAEO MUZ,Payment Success,983714
71308,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2024-2025/176109,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,14-Jun-2025,ASST ENG BOCHAHA LAEO MUZ,Payment Success,1446001
71309,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/191371,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,24-Jun-2025,ASST ENG BOCHAHA LAEO MUZ,Payment Success,1440510
71310,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/190706,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,18-Jun-2025,ASST ENG BOCHAHA LAEO MUZ,Payment Success,593791
71311,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/198727,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,05-May-2026,ASST ENG BOCHAHA LAEO MUZ,Payment Success,1080230
71312,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/198757,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,05-May-2026,ASST ENG BOCHAHA LAEO MUZ,Payment Success,1454986
71313,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/198727,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,21-May-2026,ASST ENG BOCHAHA LAEO MUZ,Payment Success,9710
71314,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/198757,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,21-May-2026,ASST ENG BOCHAHA LAEO MUZ,Payment Success,14410
71315,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/219593,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,15-Sep-2025,ASST ENG BOCHAHA LAEO MUZ,Payment Success,993584
71316,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/220057,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,09-Oct-2025,ASST ENG BOCHAHA LAEO MUZ,Payment Success,494588
71317,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/213192,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,23-Aug-2025,ASST ENG BOCHAHA LAEO MUZ,Payment Success,871262
71318,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/191361,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,28-Aug-2025,ASST ENG BOCHAHA LAEO MUZ,Payment Success,1253402
71319,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18328/2026-2027/267709,MANDI(DEPUTY COMMISSIONER MANDI_IDA),Kangana Ranaut,MANDI,22-Aug-2026,GP Batheri,Payment Success,60000
71320,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2026-2027/263076,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,19-Aug-2026,sarpanch gp khamrajethu,Payment Success,100000
71321,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2024-2025/175775,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,10-Apr-2026,sarpanch gp tumdi,Payment Success,25000
71322,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2024-2025/175775,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,22-Apr-2025,sarpanch gp tumdi,Payment Success,75000
71323,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2025-2026/200159,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,11-Nov-2025,sarpanch gp mayawadi,Payment Success,75000
71324,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2025-2026/251053,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,08-Apr-2026,sarpanch gp sethiya,Payment Success,75000
71325,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2025-2026/200155,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,11-Nov-2025,sarpanch gp semartal,Payment Success,75000
71326,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/221830,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,22-Sep-2025,ASST ENG SAKRA LAEO1 MUZ,Payment Success,443578
71327,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/210278,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,16-Oct-2025,ASST ENG SAKRA LAEO1 MUZ,Payment Success,569550
71328,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/220037,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,16-Oct-2025,ASST ENG SAKRA LAEO1 MUZ,Payment Success,205088
71329,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/220037,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,26-Sep-2025,ASST ENG SAKRA LAEO1 MUZ,Payment Success,1266358
71330,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/212579,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,23-Aug-2025,ASST ENG SAKRA LAEO1 MUZ,Payment Success,800890
71331,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2024-2025/168916,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,18-Jun-2025,ASST ENG SAKRA LAEO1 MUZ,Payment Success,765373
71332,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/210694,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,05-Feb-2026,ASST ENG SAKRA LAEO1 MUZ,Payment Success,1319438
71333,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2024-2025/162545,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,19-May-2025,ASST ENG SAKRA LAEO1 MUZ,Payment Success,1467824
71334,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2026-2027/263410,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,19-Aug-2026,sarpanch gp dhala,Payment Success,60000
71335,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2024-2025/167243,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,02-Aug-2025,sarpanch gp mendki,Payment Success,50000
71336,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2024-2025/167243,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,03-Apr-2025,sarpanch gp mendki,Payment Success,100000
71337,Madhya Pradesh,Providing CCTV camera system for security of public areas,WS/ MP644/2025-2026/180916,REWA(DISTRICT COLLECTOR REWA_IDA),Janardan Mishra,REWA,02-Apr-2025,MUNCIPAL CORPORATION REWA,Payment Success,1500000
71338,Haryana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP431/2024-2025/152154,REWARI(District Commissioner Rewari),Rao Inderjit Singh,GURGAON,09-May-2025,EXECUTIVE ENGINEER PANCHYATI RAJ REWARI,Payment Success,262730
71339,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP529/2024-2025/148905,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Maddila Gurumoorthy,TIRUPATI(SC),10-Jul-2025,D RAGHU RAMI REDDY,Payment Success,499938
71340,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2024-2025/167244,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,07-May-2025,sarpanch gp sindraiguraiyathar,Payment Success,100000
71341,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2024-2025/167244,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,18-Mar-2026,sarpanch gp sindraiguraiyathar,Payment Success,50000
71342,Punjab,Construction of community centers and community halls,WS/MP716/2024-2025/141310,SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA),Smt Harsimrat Kaur Badal,BHATINDA,09-Jan-2025,Ms Om Parkash BKO,Payment Success,18000
71343,Punjab,Providing supply pipelines for drinking water,WS/MP716/2025-2026/226776,SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA),Smt Harsimrat Kaur Badal,BHATINDA,19-Jul-2026,Ms Om Parkash BKO,Payment Success,19845
71344,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18153/2025-2026/250900,FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA),SHER SINGH GHUBAYA,FIROZPUR,14-May-2026,Sandhu Interlock,Payment Success,90000
71345,Madhya Pradesh,Construction of community centers and community halls,WS/MP18100/2026-2027/240069,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,27-May-2026,sarpanch gp mordongrikhurd,Payment Success,400000
71346,Andhra Pradesh,Construction of community centers and community halls,WS/MP522/2025-2026/194498,SRIKAKULAM(District Collector Srikakulam_IDA),Kinjarapu Ram Mohan Naidu,SRIKAKULAM,27-Oct-2025,MADINA PRADEEP,Payment Success,492068
71347,Andhra Pradesh,Construction of community centers and community halls,WS/MP522/2025-2026/168690,SRIKAKULAM(District Collector Srikakulam_IDA),Kinjarapu Ram Mohan Naidu,SRIKAKULAM,27-Oct-2025,MADINA PRADEEP,Payment Success,471605
71348,Andhra Pradesh,Construction of additional rooms and halls in the existing public and community building,WS/MP18005/2025-2026/232790,Bapatla(DISTRICT COLLECTOR BAPATLA_IDA),Krishna Prasad Tenneti,BAPATLA,01-Aug-2026,GORANTLA RAJESH BABU,Payment Success,1495732
71349,Andhra Pradesh,Construction of boundary walls of existing public and community buildings,WS/MP524/2024-2025/152580,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Midhun Reddy,RAJAMPET,15-Jul-2025,G GOURI SANKAR RAJU PRESIDENT VLC BOMMAVARAM GP,Payment Success,399788
71350,Andhra Pradesh,Construction of boundary walls of existing public and community buildings,WS/MP524/2025-2026/200766,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),Midhun Reddy,RAJAMPET,12-Mar-2026,M CHENCHI REDDY,Payment Success,465714
71351,Andhra Pradesh,Construction of boundary walls of existing public and community buildings,WS/MP524/2025-2026/200770,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),Midhun Reddy,RAJAMPET,17-Mar-2026,M CHENCHI REDDY,Payment Success,493538
71352,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18321/2024-2025/149054,ARVALLI(DISTRICT COLLECTOR ARVALLI_IDA),SHOBHANABEN MAHENDRASINH BARAIYA,SABARKANTHA,05-Aug-2025,BHUTAVAD GRAM PANCHAYAT,Payment Success,400000
71353,Assam,Construction of community centers and community halls,WS/MP18022/2025-2026/171032,TINSUKIA(DC Tinsukia),Shri Sarbananda Sonowal (18LS),DIBRUGARH,14-Nov-2025,Pankaj Saikia,Payment Success,512610
71354,Assam,Construction of community centers and community halls,WS/MP18022/2025-2026/171032,TINSUKIA(DC Tinsukia),Shri Sarbananda Sonowal (18LS),DIBRUGARH,24-Feb-2026,Pankaj Saikia,Payment Success,427609
71355,Odisha,Purchase of hospital equipment,WS/MP18144/2026-2027/282928,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,12-Aug-2026,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71356,Odisha,Purchase of hospital equipment,WS/MP18144/2026-2027/282929,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,12-Aug-2026,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71357,Odisha,Purchase of hospital equipment,WS/MP18144/2026-2027/282930,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,12-Aug-2026,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71358,Odisha,Purchase of hospital equipment,WS/MP18144/2026-2027/282931,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,12-Aug-2026,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71359,Odisha,Purchase of hospital equipment,WS/MP18144/2026-2027/282936,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,12-Aug-2026,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71360,Odisha,Purchase of hospital equipment,WS/MP18144/2026-2027/282935,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,12-Aug-2026,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71361,Odisha,Purchase of hospital equipment,WS/MP18144/2026-2027/282934,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,12-Aug-2026,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71362,Odisha,Purchase of hospital equipment,WS/MP18144/2026-2027/282933,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,12-Aug-2026,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71363,Odisha,Purchase of hospital equipment,WS/MP18144/2026-2027/282932,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,12-Aug-2026,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71364,Odisha,Purchase of hospital equipment,WS/MP18144/2026-2027/282939,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,12-Aug-2026,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71365,Odisha,Purchase of hospital equipment,WS/MP18144/2026-2027/282938,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,12-Aug-2026,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71366,Odisha,Purchase of hospital equipment,WS/MP18144/2026-2027/282937,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,12-Aug-2026,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71367,Odisha,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP18144/2025-2026/221326,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,25-Oct-2025,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71368,Odisha,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP18144/2025-2026/222335,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,25-Oct-2025,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71369,Odisha,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP18144/2025-2026/221329,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,29-Oct-2025,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71370,Odisha,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP18144/2025-2026/221331,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,29-Oct-2025,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71371,Odisha,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP18144/2025-2026/221330,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,24-Oct-2025,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71372,Odisha,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP18144/2025-2026/221327,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,24-Oct-2025,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71373,Odisha,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP18144/2025-2026/221332,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,24-Oct-2025,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71374,Odisha,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP18144/2025-2026/221324,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,24-Oct-2025,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71375,Odisha,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP18144/2025-2026/221328,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,24-Oct-2025,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71376,Odisha,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP18144/2025-2026/221334,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,24-Oct-2025,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71377,Odisha,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP18144/2025-2026/221333,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,24-Oct-2025,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71378,Odisha,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP18144/2025-2026/222334,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,24-Oct-2025,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71379,Odisha,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP18144/2025-2026/221322,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,23-Oct-2025,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71380,Odisha,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP18144/2025-2026/221325,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,23-Oct-2025,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71381,Odisha,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP18144/2025-2026/221323,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,23-Oct-2025,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71382,Odisha,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP18144/2025-2026/222336,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,23-Oct-2025,ANOUSHKA NIRMAN PVT LTD,Payment Success,500000
71383,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP529/2025-2026/213217,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Maddila Gurumoorthy,TIRUPATI(SC),06-Apr-2026,NISHANTH CONSTRUCTIONS,Payment Success,448866
71384,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP529/2025-2026/209223,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Maddila Gurumoorthy,TIRUPATI(SC),06-Apr-2026,NISHANTH CONSTRUCTIONS,Payment Success,447308
